m1=876841.875, m2=30.685, gsp=2.231, rhosp=471.010
fGW[Hz],dPh[rad]
1.15209e-03,9.54016e+02
1.16063e-03,9.27489e+02
1.16924e-03,9.01694e+02
1.17792e-03,8.76610e+02
1.18666e-03,8.52218e+02
1.19546e-03,8.28499e+02
1.20433e-03,8.05434e+02
1.21326e-03,7.83006e+02
1.22226e-03,7.61197e+02
1.23133e-03,7.39990e+02
1.24046e-03,7.19369e+02
1.24967e-03,6.99317e+02
1.25894e-03,6.79819e+02
1.26828e-03,6.60860e+02
1.27768e-03,6.42425e+02
1.28716e-03,6.24499e+02
1.29671e-03,6.07069e+02
1.30633e-03,5.90120e+02
1.31602e-03,5.73640e+02
1.32578e-03,5.57616e+02
1.33562e-03,5.42036e+02
1.34553e-03,5.26886e+02
1.35551e-03,5.12155e+02
1.36556e-03,4.97832e+02
1.37569e-03,4.83906e+02
1.38590e-03,4.70365e+02
1.39618e-03,4.57199e+02
1.40654e-03,4.44397e+02
1.41697e-03,4.31950e+02
1.42748e-03,4.19848e+02
1.43807e-03,4.08080e+02
1.44874e-03,3.96639e+02
1.45949e-03,3.85515e+02
1.47032e-03,3.74700e+02
1.48122e-03,3.64184e+02
1.49221e-03,3.53959e+02
1.50328e-03,3.44018e+02
1.51443e-03,3.34353e+02
1.52567e-03,3.24955e+02
1.53699e-03,3.15819e+02
1.54839e-03,3.06935e+02
1.55987e-03,2.98298e+02
1.57145e-03,2.89901e+02
1.58310e-03,2.81737e+02
1.59485e-03,2.73799e+02
1.60668e-03,2.66082e+02
1.61860e-03,2.58579e+02
1.63060e-03,2.51284e+02
1.64270e-03,2.44192e+02
1.65489e-03,2.37296e+02
1.66716e-03,2.30593e+02
1.67953e-03,2.24075e+02
1.69199e-03,2.17738e+02
1.70454e-03,2.11578e+02
1.71719e-03,2.05588e+02
1.72993e-03,1.99765e+02
1.74276e-03,1.94104e+02
1.75569e-03,1.88600e+02
1.76871e-03,1.83249e+02
1.78183e-03,1.78047e+02
1.79505e-03,1.72989e+02
1.80837e-03,1.68072e+02
